Date,Adj Close
2013-05-01,13799.349609375
2013-05-02,13694.0400390625
2013-05-07,14180.240234375
2013-05-08,14285.6904296875
2013-05-09,14191.48046875
2013-05-10,14607.5400390625
2013-05-13,14782.2099609375
2013-05-14,14758.419921875
2013-05-15,15096.0302734375
2013-05-16,15037.240234375
2013-05-17,15138.1201171875
2013-05-20,15360.8095703125
2013-05-21,15381.01953125
2013-05-22,15627.259765625
2013-05-23,14483.98046875
2013-05-24,14612.4501953125
2013-05-27,14142.650390625
2013-05-28,14311.98046875
2013-05-29,14326.4599609375
2013-05-30,13589.0302734375
2013-05-31,13774.5400390625
2013-06-03,13261.8203125
2013-06-04,13533.759765625
2013-06-05,13014.8701171875
2013-06-06,12904.01953125
2013-06-07,12877.5302734375
2013-06-10,13514.2001953125
2013-06-11,13317.6201171875
2013-06-12,13289.3203125
2013-06-13,12445.3798828125
2013-06-14,12686.51953125
2013-06-17,13033.1201171875
2013-06-18,13007.2802734375
2013-06-19,13245.2197265625
2013-06-20,13014.580078125
2013-06-21,13230.1298828125
2013-06-24,13062.7802734375
2013-06-25,12969.33984375
2013-06-26,12834.009765625
2013-06-27,13213.5498046875
2013-06-28,13677.3203125
2013-07-01,13852.5
2013-07-02,14098.740234375
2013-07-03,14055.5595703125
2013-07-04,14018.9296875
2013-07-05,14309.9697265625
2013-07-08,14109.33984375
2013-07-09,14472.900390625
2013-07-10,14416.599609375
2013-07-11,14472.580078125
2013-07-12,14506.25
2013-07-16,14599.1201171875
2013-07-17,14615.0400390625
2013-07-18,14808.5
2013-07-19,14589.91015625
2013-07-22,14658.0400390625
2013-07-23,14778.509765625
2013-07-24,14731.2802734375
2013-07-25,14562.9296875
2013-07-26,14129.98046875
2013-07-29,13661.1298828125
2013-07-30,13869.8203125
2013-07-31,13668.3203125
2013-08-01,14005.76953125
2013-08-02,14466.16015625
2013-08-05,14258.0400390625
2013-08-06,14401.0595703125
2013-08-07,13824.9404296875
2013-08-08,13605.5595703125
2013-08-09,13615.1904296875
2013-08-12,13519.4296875
2013-08-13,13867.0
2013-08-14,14050.16015625
2013-08-15,13752.9404296875
2013-08-16,13650.1103515625
2013-08-19,13758.1298828125
2013-08-20,13396.3798828125
2013-08-21,13424.330078125
2013-08-22,13365.169921875
2013-08-23,13660.5498046875
2013-08-26,13636.2802734375
2013-08-27,13542.3701171875
2013-08-28,13338.4599609375
2013-08-29,13459.7099609375
2013-08-30,13388.8603515625
