gamma_trade,gamma_risk,gamma_hold,seed,excess_return,excess_risk,sharpe
500,200.0,250.0,0,-0.904452412363866,0.4587981439940098,-1.9713515065476699
250,100.0,100.0,0,-0.899407579810133,0.5570236539198947,-1.6146667623193545
250,100.0,75.0,0,-0.9386004359759975,0.5834656517737212,-1.6086644228716382
500,500.0,500.0,0,-1.9701096670439275,0.6537867218654114,-3.0133828068926345
500,500.0,100.0,0,-2.2052583796669243,0.6557714333341015,-3.362846058198745
250,200.0,250.0,0,-1.1810136886402305,0.6619571578939545,-1.7841240547918191
250,200.0,100.0,0,-2.127766165907161,0.6749980908675046,-3.1522550873774553
500,300.0,500.0,0,-0.33364833203058003,0.6882677061473171,-0.48476534501121255
250,300.0,50.0,0,-2.382567289976231,0.7164970748041615,-3.3252993958523174
250,75.0,100.0,0,0.132961871043321,0.7170777771493667,0.18542182630716939
500,300.0,250.0,0,-2.0601598680133066,0.7277158431624696,-2.830994937612422
500,200.0,100.0,0,-1.6291620258111925,0.7286515810418998,-2.2358587673434425
500,300.0,75.0,0,-1.9962377558684228,0.7389730752055388,-2.701367374329825
250,300.0,250.0,0,-2.644097692255957,0.7605996505497205,-3.476333035842109
100,100.0,75.0,0,-1.9611060984338013,0.7736495150999376,-2.5348766594657164
75,75.0,100.0,0,-0.8731597712536914,0.7780444481555819,-1.1222492150976568
500,500.0,1.0,0,-2.8242460497798687,0.791917702289166,-3.5663378171948037
250,300.0,75.0,0,-1.5514432886009442,0.7937034433907683,-1.9546888721725173
100,100.0,50.0,0,-2.2131138356157627,0.7937961678615892,-2.788012748383101
250,300.0,25.0,0,-2.837585782046477,0.7983244068241483,-3.5544269444733754
100,75.0,75.0,0,-1.2850731757430893,0.8088033852673593,-1.5888573158213148
75,200.0,250.0,0,-1.9435856341761686,0.8124869146853532,-2.392143921393305
250,200.0,50.0,0,-2.5357180589228454,0.8127910007837381,-3.1197664054815637
500,1000.0,1000.0,0,-2.7244886831227797,0.8224685805216216,-3.312574787227579
100,100.0,100.0,0,-1.7548816724576872,0.8275294235227744,-2.1206275240186567
500,100.0,25.0,0,-0.44606007428768085,0.8482456961110332,-0.5258618774403928
250,500.0,100.0,0,-3.0988887019425833,0.8490551108773606,-3.649808666413167
250,500.0,500.0,0,-1.7458946073417267,0.8586525849815261,-2.0332956982587898
500,300.0,10.0,0,-2.543743216737479,0.8600621181168572,-2.9576273191837745
500,500.0,75.0,0,-1.3778235104946506,0.8776306405843468,-1.5699355136202444
250,200.0,500.0,0,-0.6687141795498636,0.8784700187858279,-0.7612259556383301
500,200.0,25.0,0,-2.1452474093974367,0.8806696049525504,-2.435927613867201
75,100.0,75.0,0,-2.48226479630712,0.8845684128903885,-2.8061874696566975
500,200.0,75.0,0,-2.023410021771317,0.8897364269499052,-2.27416790015864
100,200.0,75.0,0,-3.040637606937152,0.8933679390769982,-3.4035669671318747
250,100.0,25.0,0,-1.3647562489054266,0.901325354188549,-1.5141660473249399
500,1000.0,250.0,0,-2.7450325296704725,0.9030632555981646,-3.0396902018256045
500,200.0,10.0,0,-2.1910052711970516,0.9082167724250932,-2.4124254668262677
100,75.0,100.0,0,-0.2852057012684584,0.911284468792159,-0.3129710985269811
75,100.0,50.0,0,-2.5076796111531316,0.9173200696026077,-2.733701893429066
250,100.0,50.0,0,-0.4777393150421684,0.9180322897970473,-0.5203948928068575
250,200.0,75.0,0,-2.6327972798827433,0.918494958119132,-2.866425402349634
500,500.0,250.0,0,-2.9455773070331377,0.9243330306257553,-3.186705667154445
500,100.0,50.0,0,0.1753152193511992,0.9288256976300151,0.18874932056523872
