Date,Open,High,Low,Close,Adj Close,Volume
2013-10-03,2430.0,2430.0,2430.0,2430.0,2430.0,0.0
2013-10-08,2430.0,2430.0,2430.0,2430.0,2430.0,0.0
2013-10-18,2240.0,2240.0,2240.0,2240.0,2240.0,0.0
2013-10-23,2300.0,2300.0,2300.0,2300.0,2300.0,0.0
2013-10-28,2400.0,2640.0,2400.0,2630.0,2630.0,11.0
2013-11-07,3650.0,3840.0,3650.0,3840.0,3840.0,3.0
2013-11-12,4330.0,4330.0,4070.0,4070.0,4070.0,3.0
2013-11-22,4050.0,4050.0,4050.0,4050.0,4050.0,0.0
2013-11-27,4010.0,4010.0,4000.0,4000.0,4000.0,2.0
2013-12-02,4000.0,4000.0,4000.0,4000.0,4000.0,0.0
2013-12-12,3970.0,3970.0,3970.0,3970.0,3970.0,0.0
2013-12-17,3790.0,3790.0,3790.0,3790.0,3790.0,2.0
2013-12-27,3720.0,3720.0,3720.0,3720.0,3720.0,0.0
2014-01-06,3740.0,3850.0,3740.0,3850.0,3850.0,10.0
2014-01-16,4040.0,4090.0,4040.0,4090.0,4090.0,3.0
2014-01-21,3990.0,3990.0,3990.0,3990.0,3990.0,3.0
2014-01-31,3860.0,3870.0,3080.0,3090.0,3090.0,52.0
2014-02-05,6090.0,6300.0,5170.0,5390.0,5390.0,18.0
2014-02-10,5200.0,5200.0,5080.0,5130.0,5130.0,3.0
2014-02-20,5250.0,5250.0,5240.0,5240.0,5240.0,2.0
2014-02-25,5770.0,5770.0,5770.0,5770.0,5770.0,0.0
2014-03-07,6770.0,6830.0,6510.0,6510.0,6510.0,6.0
2014-03-12,6680.0,6910.0,6680.0,6910.0,6910.0,3.0
2014-03-17,6910.0,6920.0,6910.0,6920.0,6920.0,0.0
2014-03-27,6040.0,6040.0,5950.0,5950.0,5950.0,7.0
2014-04-01,5940.0,6330.0,5940.0,6330.0,6330.0,2.0
2014-04-11,6190.0,6190.0,6190.0,6190.0,6190.0,0.0
2014-04-16,5890.0,5920.0,5890.0,5920.0,5920.0,1.0
2014-04-21,5670.0,5920.0,5530.0,5910.0,5910.0,3.0
2014-05-01,6000.0,6000.0,6000.0,6000.0,6000.0,1.0
2014-05-06,6250.0,6360.0,6250.0,6360.0,6360.0,3.0
2014-05-16,6360.0,6400.0,6350.0,6400.0,6400.0,2.0
2014-05-21,6960.0,6960.0,6960.0,6960.0,6960.0,0.0
2014-06-05,6380.0,6450.0,6250.0,6250.0,6250.0,8.0
2014-06-10,5750.0,6110.0,5660.0,6000.0,6000.0,4.0
2014-06-20,6400.0,6500.0,6250.0,6500.0,6500.0,1.0
2014-06-25,6250.0,6340.0,6250.0,6330.0,6330.0,5.0
2014-06-30,6250.0,6250.0,6100.0,6250.0,6250.0,21.0
2014-07-10,6100.0,6150.0,6100.0,6100.0,6100.0,5.0
2014-07-15,6400.0,6450.0,6200.0,6450.0,6450.0,30.0
2014-07-25,6200.0,6200.0,6100.0,6120.0,6120.0,13.0
2014-07-30,6050.0,6100.0,6050.0,6100.0,6100.0,7.0
2014-08-04,6450.0,6450.0,6250.0,6250.0,6250.0,1.0
2014-08-14,5960.0,6330.0,5690.0,5800.0,5800.0,101.0
2014-08-19,5660.0,5660.0,4510.0,5310.0,5310.0,61.0
2014-08-29,5400.0,5400.0,5160.0,5200.0,5200.0,2.0
2014-09-03,5250.0,5320.0,4850.0,5320.0,5320.0,12.0
2014-09-08,5310.0,5330.0,5110.0,5110.0,5110.0,1.0
2014-09-18,5850.0,6750.0,5800.0,6750.0,6750.0,11.0
2014-09-23,6250.0,6250.0,6000.0,6000.0,6000.0,2.0
2014-10-03,5400.0,5400.0,5220.0,5390.0,5390.0,6.0
2014-10-08,5350.0,5500.0,5350.0,5500.0,5500.0,5.0
2014-10-13,5750.0,5750.0,4890.0,5150.0,5150.0,9.0
2014-10-23,5750.0,5970.0,5460.0,5970.0,5970.0,5.0
2014-10-28,5510.0,5640.0,5510.0,5630.0,5630.0,1.0
2014-11-07,5700.0,5780.0,5700.0,5780.0,5780.0,1.0
2014-11-12,6100.0,6680.0,6100.0,6680.0,6680.0,31.0
2014-11-17,6210.0,6320.0,6160.0,6310.0,6310.0,2.0
2014-12-02,6350.0,6380.0,6210.0,6380.0,6380.0,6.0
2014-12-12,6180.0,6250.0,6180.0,6180.0,6180.0,4.0
2014-12-17,6350.0,6420.0,6260.0,6350.0,6350.0,12.0
2014-12-22,6490.0,6740.0,6490.0,6720.0,6720.0,2.0
2015-01-06,6830.0,6830.0,6500.0,6720.0,6720.0,8.0
2015-01-16,8500.0,8500.0,7520.0,8250.0,8250.0,112.0
2015-01-21,8300.0,8600.0,8200.0,8600.0,8600.0,110.0
2015-01-26,8460.0,8710.0,8240.0,8710.0,8710.0,23.0
2015-02-05,9100.0,9150.0,8920.0,9150.0,9150.0,55.0
2015-02-10,8900.0,8900.0,8700.0,8750.0,8750.0,29.0
2015-02-20,9170.0,9600.0,9020.0,9540.0,9540.0,90.0
2015-02-25,9500.0,9900.0,9500.0,9900.0,9900.0,455.0
2015-03-02,9900.0,9900.0,9660.0,9670.0,9670.0,110.0
2015-03-12,8830.0,9150.0,8610.0,8870.0,8870.0,38.0
2015-03-17,9190.0,9600.0,9150.0,9360.0,9360.0,47.0
2015-03-27,9000.0,9390.0,8290.0,8910.0,8910.0,143.0
2015-04-01,9030.0,9090.0,8870.0,8990.0,8990.0,28.0
2015-04-06,8860.0,9120.0,8860.0,9000.0,9000.0,40.0
2015-04-16,8930.0,8930.0,8710.0,8800.0,8800.0,17.0
2015-04-21,9000.0,9000.0,8770.0,8890.0,8890.0,76.0
2015-05-01,8340.0,8480.0,8190.0,8330.0,8330.0,16.0
2015-05-06,8150.0,8260.0,7860.0,8240.0,8240.0,30.0
2015-05-11,7800.0,7800.0,7280.0,7370.0,7370.0,57.0
2015-05-21,7500.0,7530.0,7010.0,7440.0,7440.0,89.0
2015-05-26,6910.0,7140.0,6600.0,7090.0,7090.0,115.0
2015-06-05,6880.0,6980.0,6800.0,6960.0,6960.0,19.0
2015-06-10,7040.0,7380.0,7020.0,7080.0,7080.0,51.0
2015-06-15,7300.0,7340.0,7050.0,7280.0,7280.0,10.0
2015-06-25,7030.0,7100.0,6810.0,6980.0,6980.0,10.0
2015-06-30,7040.0,7040.0,6780.0,6840.0,6840.0,15.0
2015-07-10,6540.0,6700.0,6300.0,6590.0,6590.0,196.0
2015-07-15,6530.0,6700.0,6230.0,6240.0,6240.0,15.0
2015-07-20,5900.0,6060.0,5540.0,5900.0,5900.0,58.0
2015-07-30,5590.0,5980.0,5570.0,5780.0,5780.0,30.0
2015-08-04,5790.0,5890.0,5750.0,5850.0,5850.0,13.0
2015-08-14,5190.0,5190.0,4750.0,4790.0,4790.0,21.0
2015-08-19,4430.0,4440.0,4080.0,4170.0,4170.0,62.0
2015-08-24,4000.0,4350.0,4000.0,4180.0,4180.0,57.0
2015-09-03,5900.0,6500.0,5840.0,6420.0,6420.0,74.0
2015-09-08,6380.0,6500.0,6250.0,6360.0,6360.0,28.0
2015-09-18,5890.0,6130.0,5790.0,5900.0,5900.0,15.0
2015-09-23,5930.0,5970.0,5810.0,5810.0,5810.0,3.0
2015-09-28,5500.0,5520.0,4990.0,5000.0,5000.0,46.0
2015-10-08,4120.0,4160.0,4060.0,4060.0,4060.0,9.0
2015-10-13,3900.0,4470.0,3740.0,4240.0,4240.0,65.0
2015-10-23,5370.0,5480.0,5320.0,5370.0,5370.0,8.0
2015-10-28,5440.0,5670.0,5370.0,5490.0,5490.0,19.0
