gamma_trade,gamma_risk,gamma_hold,seed,excess_return,excess_risk,sharpe
1,50.0,100.0,0,2.6708478566360916,5.849439812550512,0.4565989124130385
100,300.0,1000.0,0,4.075569809661118,5.878293509295624,0.6933253338262587
100,100.0,1.0,0,4.725850736947658,5.984427167714387,0.7896914114759938
100,100.0,0.1,0,4.600548694024147,5.986261721904531,0.7685178008823312
50,75.0,100.0,0,4.750871944953138,6.07231872989468,0.7823818472446256
500,300.0,100.0,0,5.384972976709425,6.2829153407487315,0.8570818934618496
500,300.0,1.0,0,4.469028548409913,6.49069681930614,0.6885283156528108
1,35.0,10.0,0,0.01883377885059583,6.50226079943856,0.002896496992587876
100,100.0,100.0,0,4.95260949079231,6.506070255787674,0.7612290209111352
500,300.0,0.1,0,4.403906610895573,6.515153581346125,0.6759482421879704
500,300.0,10.0,0,4.88785934441411,6.530896928035237,0.7484208368734093
50,200.0,1000.0,0,4.44841880527428,6.631890937289177,0.670761755182391
10,50.0,100.0,0,4.3633865044431275,6.760499399452704,0.6454236952962921
1,200.0,1000.0,0,4.034469834215663,6.8275310413216035,0.5909119723950331
1,35.0,1.0,0,0.02175624962945207,6.970584478277987,0.003121151418112751
10,35.0,10.0,0,4.946201940321146,7.115113858302821,0.6951683471023148
1,35.0,0.1,0,0.2834612524306727,7.171513717721271,0.039526000170678297
100,75.0,10.0,0,6.5290291050690135,7.215976875621021,0.9048018331554191
100,75.0,1.0,0,7.188042274210236,7.28903511026754,0.9861445534930896
100,75.0,0.1,0,7.253357996131565,7.305287198291936,0.9928915591200148
50,50.0,10.0,0,7.170284871363433,7.514371289096405,0.9542095533351868
100,200.0,1000.0,0,5.896152750848843,7.538243673150977,0.7821653168163318
10,35.0,1.0,0,6.135637707782052,7.729561553847576,0.7937885823197681
10,35.0,0.1,0,5.794997596204409,7.752760926467396,0.7474753382915089
50,50.0,1.0,0,8.222663246594394,7.7630622976352575,1.0592035631479007
50,50.0,0.1,0,8.202125182049356,7.807806098052349,1.050503186048046
100,75.0,100.0,0,6.631482999809125,7.915957706222376,0.8377360321918366
500,200.0,100.0,0,7.359954012824864,7.9536271527203,0.9253581883465095
500,200.0,10.0,0,8.183281750353702,8.098150759264902,1.0105123988944518
500,200.0,0.1,0,8.027370455199641,8.10108211938576,0.9909010101243477
1,25.0,10.0,0,4.358267219780233,8.120133729862246,0.5367235768239211
500,200.0,1.0,0,7.927817239398927,8.133967461340648,0.974655637249409
500,300.0,1000.0,0,6.736768501256931,8.141900034632966,0.8274197021089589
1,35.0,100.0,0,5.575538884294077,8.302736381747938,0.671530279649838
1,1000.0,10000.0,0,5.61834167901305,8.316238577914378,0.6755868805800986
100,1000.0,10000.0,0,6.031657531210514,8.3215895412534,0.724820360498341
10,1000.0,10000.0,0,5.430855152002714,8.386577951977504,0.6475650954537603
50,1000.0,10000.0,0,5.772664953047962,8.463940543901527,0.6820304234305268
50,50.0,100.0,0,7.383534640824892,8.545033005856306,0.8640732734168042
500,1000.0,10000.0,0,6.25655071167596,8.560746759338002,0.7308416996275889
10,100.0,1000.0,0,5.651434858956411,8.564045575352814,0.6599024735717369
100,50.0,10.0,0,9.793640901744977,8.641137889561136,1.1333739869579114
100,50.0,1.0,0,11.082449541151448,8.86184049487212,1.2505810218051518
1,100.0,1000.0,0,5.882991104981591,8.875156236613494,0.6628605681004183
100,50.0,0.1,0,11.188547492290823,8.89599358051396,1.2577063361195022
10,25.0,10.0,0,8.687266058697487,8.929841889027967,0.9728353723005407
1,25.0,1.0,0,4.334194528791306,8.939402642412553,0.4848416278094394
10,35.0,100.0,0,7.446001079759701,8.942646161664861,0.8326395728010636
50,35.0,10.0,0,10.378186912584786,8.945677723640328,1.1601342271875983
50,100.0,1000.0,0,6.6320218990153315,8.963838493694361,0.7398640553018271
1,25.0,0.1,0,4.733848056725565,8.970744026577552,0.5276984877397717
50,35.0,1.0,0,11.85206180914054,9.206313771185691,1.2873840826754812
50,35.0,0.1,0,11.366723927106673,9.215198032327391,1.2334758175821743
100,50.0,100.0,0,8.744247631082585,9.246444130327788,0.9456876078883094
1,75.0,1000.0,0,6.7913312150279594,9.26918230544874,0.7326785676699641
10,75.0,1000.0,0,6.86860061443012,9.329817328425738,0.7361988314072478
10,25.0,0.1,0,8.759852291375038,9.386749225964698,0.9332146923819378
50,500.0,10000.0,0,6.612161120161883,9.447519324597948,0.6998833125375239
10,25.0,1.0,0,9.57441024938831,9.448893912976821,1.0132837068092286
1,500.0,10000.0,0,6.256709496217197,9.460047687784643,0.6613824478174903
10,500.0,10000.0,0,6.42451619141228,9.461010198628577,0.6790518196823789
100,500.0,10000.0,0,6.804235581399781,9.47306773777522,0.7182716063843725
500,500.0,10000.0,0,7.674439502044616,9.61731768872927,0.7979812823526093
50,35.0,100.0,0,9.370001882481185,9.755106940078287,0.9605227231272145
500,200.0,1000.0,0,8.116123223210005,9.759872485656537,0.8315808669772843
100,100.0,1000.0,0,8.077323245464669,9.849644299587016,0.8200624306609063
1,25.0,100.0,0,8.08320625784156,9.861443565885542,0.8196777889399909
100,35.0,10.0,0,11.934670692797702,9.875729236290898,1.2084850047266076
500,100.0,10.0,0,10.862933795673724,9.893090153164104,1.0980324274311233
500,100.0,1.0,0,11.009528148397834,9.9492355329523,1.106570259788684
100,35.0,1.0,0,12.924964216344522,9.962392419729689,1.2973755370996736
500,100.0,0.1,0,11.0274197987479,9.964621110904668,1.1066572101452177
100,35.0,0.1,0,12.995177525548879,9.965583211121832,1.3040057215162226
50,75.0,1000.0,0,7.9203173939423275,9.966707000532528,0.7946774590162167
10,50.0,1000.0,0,7.9222674022074395,10.04542665441042,0.7886441934976637
10,300.0,10000.0,0,7.65985783440012,10.124079328816801,0.756597966651386
50,300.0,10000.0,0,7.718100475368295,10.139252149823948,0.761210034164335
100,300.0,10000.0,0,7.816275195450162,10.15676342509016,0.769563577324415
1,50.0,1000.0,0,7.936136013257604,10.17764414729017,0.7797615929979852
10,25.0,100.0,0,9.282210947307266,10.214574817476546,0.9087222046115851
50,25.0,10.0,0,11.861662026718887,10.260839433314533,1.1560128295358427
1,300.0,10000.0,0,7.735482980513919,10.275082736687654,0.752838996896251
50,25.0,0.1,0,13.533905202141492,10.340169195869308,1.3088669001226807
500,100.0,100.0,0,9.18218548346766,10.373602815877693,0.8851491276891317
50,25.0,1.0,0,13.545728418135344,10.37741390491012,1.3053086773118032
100,75.0,1000.0,0,8.627407294918582,10.420318659657212,0.8279408314373362
500,75.0,10.0,0,11.473294017235805,10.520173415116423,1.0905993242231011
500,75.0,1.0,0,11.613963784636008,10.525740300315892,1.1033868833233
100,35.0,100.0,0,10.376290965002525,10.532984139903094,0.9851235725014572
500,75.0,0.1,0,11.448094961726156,10.617177511838639,1.0782616141588484
1,35.0,1000.0,0,8.292524382458977,10.706484907936417,0.7745328605761131
50,200.0,10000.0,0,8.161213739896477,10.717981860288752,0.7614506020144175
100,200.0,10000.0,0,8.208496618513612,10.738594687521367,0.7643920696673822
