Date,Open,High,Low,Close,Adj Close,Volume
2013-01-04,17080.0,17130.0,16500.0,16540.0,13967.7421875,1432000
2013-01-07,16550.0,16550.0,15900.0,15910.0,13435.71875,1384400
2013-01-08,15670.0,15860.0,15550.0,15700.0,13258.3759765625,1146000
2013-01-09,15500.0,15950.0,15480.0,15860.0,13393.49609375,1231200
2013-01-10,15900.0,16150.0,15830.0,15860.0,13393.49609375,874500
2013-01-11,16160.0,16230.0,15610.0,15630.0,13199.263671875,2156900
2013-01-15,15630.0,15640.0,15030.0,15100.0,12751.6865234375,2371900
2013-01-16,14830.0,14840.0,14430.0,14450.0,12202.7744140625,2339900
2013-01-17,14460.0,14690.0,14220.0,14670.0,12388.5615234375,2089500
2013-01-18,14870.0,14940.0,14710.0,14930.0,12608.1259765625,2105200
2013-01-21,14790.0,14800.0,14350.0,14350.0,12118.326171875,1638300
2013-01-22,14270.0,14460.0,14060.0,14200.0,11991.654296875,2163500
2013-01-23,14000.0,14090.0,13910.0,13950.0,11780.533203125,1835100
2013-01-24,13950.0,14120.0,13780.0,13900.0,11738.306640625,1881800
2013-01-25,14410.0,14570.0,14150.0,14570.0,12304.111328125,1922200
2013-01-28,14200.0,14250.0,13550.0,13550.0,11442.73828125,3811900
2013-01-29,13500.0,13940.0,13360.0,13930.0,11763.642578125,3557400
2013-01-30,14000.0,14360.0,13880.0,14360.0,12126.7705078125,2570700
2013-01-31,14150.0,14350.0,14030.0,14250.0,12033.8779296875,1758800
2013-02-01,14260.0,14280.0,13960.0,14170.0,11966.3193359375,1756700
2013-02-04,14350.0,14390.0,14180.0,14330.0,12101.435546875,1267300
2013-02-05,14050.0,14400.0,14030.0,14250.0,12033.8779296875,1516900
2013-02-06,14460.0,14730.0,14330.0,14610.0,12337.890625,1830000
2013-02-07,14750.0,14800.0,14560.0,14790.0,12489.896484375,1409900
2013-02-08,14570.0,15100.0,14570.0,14750.0,12456.1201171875,2202300
2013-02-12,15000.0,15040.0,14820.0,14830.0,12523.6767578125,1266200
2013-02-13,14700.0,14950.0,14620.0,14810.0,12506.787109375,1084800
2013-02-14,14940.0,15140.0,14840.0,15010.0,12675.6826171875,1341800
2013-02-15,15000.0,15140.0,14770.0,14840.0,12532.123046875,1249300
2013-02-18,15130.0,15200.0,15070.0,15150.0,12793.91015625,1048900
2013-02-19,14920.0,14920.0,14470.0,14530.0,12270.3310546875,2028900
2013-02-20,14680.0,14720.0,14510.0,14580.0,12312.5556640625,1434900
2013-02-21,14340.0,14350.0,14060.0,14260.0,12042.322265625,1683000
2013-02-22,14070.0,14500.0,14070.0,14460.0,12211.2197265625,1783400
2013-02-25,14790.0,14800.0,14380.0,14550.0,12287.2216796875,1290200
2013-02-26,14050.0,14320.0,14050.0,14190.0,11983.2080078125,1325500
2013-02-27,14190.0,14200.0,13870.0,13870.0,11712.9736328125,1244600
2013-02-28,14080.0,14310.0,13930.0,14310.0,12084.5458984375,1510800
2013-03-01,14240.0,14400.0,14160.0,14280.0,12059.2109375,953600
2013-03-04,14280.0,14300.0,13990.0,14000.0,11822.7568359375,1180600
2013-03-05,14010.0,14110.0,13980.0,14000.0,11822.7568359375,796500
2013-03-06,14170.0,14180.0,13930.0,13980.0,11805.8662109375,847700
2013-03-07,14090.0,14130.0,13980.0,14040.0,11856.5341796875,1315700
2013-03-08,14120.0,14400.0,14040.0,14380.0,12143.6591796875,5149800
2013-03-11,14500.0,14560.0,14370.0,14410.0,12168.9931640625,1479400
2013-03-12,14490.0,14670.0,14320.0,14360.0,12126.7705078125,1375700
2013-03-13,14200.0,14270.0,13980.0,14000.0,11822.7568359375,1268800
2013-03-14,14110.0,14130.0,13980.0,14120.0,11924.0927734375,918400
2013-03-15,14160.0,14410.0,14070.0,14410.0,12168.9931640625,1263300
2013-03-18,14070.0,14170.0,14050.0,14110.0,11915.650390625,1056800
2013-03-19,14360.0,14690.0,14220.0,14610.0,12337.890625,1159800
2013-03-21,14950.0,15510.0,14950.0,15360.0,12971.25390625,2401600
2013-03-22,14950.0,14980.0,14510.0,14510.0,12253.443359375,1882100
2013-03-25,14590.0,14650.0,14510.0,14550.0,12287.2216796875,1216700
2013-03-26,14650.0,14970.0,14590.0,14780.0,12481.453125,1452700
2013-03-27,15010.0,15040.0,14740.0,14740.0,12517.1533203125,1046500
2013-03-28,14510.0,14710.0,14380.0,14390.0,12219.93359375,1866000
2013-03-29,14620.0,14650.0,14410.0,14490.0,12304.8525390625,1050300
2013-04-01,14420.0,14620.0,14340.0,14460.0,12279.37890625,1427100
2013-04-02,14480.0,14550.0,14020.0,14130.0,11999.142578125,1285100
2013-04-03,14300.0,14310.0,14060.0,14280.0,12126.5224609375,1000100
2013-04-04,14000.0,14590.0,13900.0,14580.0,12381.2822265625,1519300
2013-04-05,15150.0,15220.0,14530.0,14610.0,12406.7568359375,2501500
2013-04-08,15100.0,15110.0,14720.0,14750.0,12525.64453125,1243200
2013-04-09,15000.0,15330.0,14910.0,15160.0,12873.8154296875,2176100
2013-04-10,15290.0,15360.0,15070.0,15250.0,12950.2431640625,1386800
2013-04-11,15500.0,15800.0,15400.0,15800.0,13417.302734375,1926100
2013-04-12,16000.0,16050.0,15360.0,15370.0,13052.1474609375,2426700
2013-04-15,15340.0,15340.0,15070.0,15170.0,12882.3056640625,939500
2013-04-16,14940.0,15450.0,14900.0,15230.0,12933.259765625,1179600
2013-04-17,15460.0,15460.0,15050.0,15220.0,12924.7666015625,797100
2013-04-18,14910.0,15070.0,14820.0,14870.0,12627.5498046875,1351800
2013-04-19,15170.0,15190.0,14980.0,15080.0,12805.880859375,759100
2013-04-22,15330.0,15420.0,15090.0,15170.0,12882.3056640625,780400
2013-04-23,15320.0,15500.0,15070.0,15180.0,12890.7998046875,1055400
2013-04-24,15450.0,15530.0,15290.0,15520.0,13179.5263671875,1142200
2013-04-25,15530.0,15710.0,15460.0,15470.0,13137.06640625,1053300
2013-04-26,15580.0,15680.0,15420.0,15570.0,13221.9853515625,891400
2013-04-30,14770.0,14780.0,14170.0,14700.0,12483.185546875,3355900
2013-05-01,14610.0,14770.0,14330.0,14380.0,12211.443359375,1418500
2013-05-02,14310.0,14630.0,14230.0,14560.0,12364.2998046875,1291300
2013-05-07,15080.0,15240.0,14820.0,15240.0,12941.7509765625,1646400
2013-05-08,15260.0,15900.0,15210.0,15790.0,13408.80859375,1783500
2013-05-09,15990.0,16570.0,15820.0,15820.0,13434.28515625,1494800
2013-05-10,16370.0,16390.0,15830.0,15890.0,13493.73046875,1754700
2013-05-13,16040.0,16310.0,16020.0,16180.0,13739.99609375,817000
2013-05-14,16090.0,16170.0,15930.0,15930.0,13527.6982421875,818800
2013-05-15,16060.0,16480.0,15980.0,16460.0,13977.7724609375,1357700
2013-05-16,16690.0,16720.0,16270.0,16370.0,13901.34375,1254100
2013-05-17,16370.0,16450.0,16100.0,16190.0,13748.4873046875,1370400
2013-05-20,16340.0,16340.0,16110.0,16170.0,13731.505859375,866100
2013-05-21,15980.0,16280.0,15950.0,16200.0,13756.98046875,1075000
2013-05-22,16270.0,16820.0,16160.0,16640.0,14130.6259765625,1914300
2013-05-23,16980.0,17460.0,15770.0,15770.0,13391.826171875,3314600
2013-05-24,15990.0,16380.0,15240.0,15840.0,13451.267578125,2181900
2013-05-27,15300.0,15740.0,15210.0,15320.0,13009.685546875,1169400
2013-05-28,15150.0,15680.0,15150.0,15430.0,13103.09765625,1087000
2013-05-29,15440.0,15490.0,15080.0,15240.0,12941.7509765625,1349000
2013-05-30,15010.0,15190.0,14610.0,14610.0,12406.7568359375,1760200
2013-05-31,15150.0,15360.0,15050.0,15240.0,12941.7509765625,1697400
2013-06-03,15230.0,15240.0,14570.0,14570.0,12372.7890625,1721700
2013-06-04,14580.0,14820.0,14440.0,14780.0,12551.1201171875,1403000
2013-06-05,14800.0,14900.0,14220.0,14220.0,12075.5712890625,1534000
2013-06-06,14230.0,14690.0,14180.0,14320.0,12160.4921875,1670600
2013-06-07,14240.0,14880.0,14170.0,14630.0,12423.7412109375,1821100
2013-06-10,15000.0,15010.0,14550.0,14980.0,12720.958984375,1119500
2013-06-11,15000.0,15150.0,14630.0,14630.0,12423.7412109375,1180400
2013-06-12,14500.0,14920.0,14400.0,14850.0,12610.56640625,1200300
2013-06-13,14450.0,14540.0,13950.0,14170.0,12033.111328125,1750600
2013-06-14,14230.0,14610.0,14200.0,14390.0,12219.93359375,3090200
2013-06-17,14170.0,14670.0,14160.0,14630.0,12423.7412109375,917000
2013-06-18,14590.0,14800.0,14460.0,14570.0,12372.7890625,833300
2013-06-19,14750.0,14820.0,14560.0,14670.0,12457.7109375,881200
2013-06-20,14370.0,14450.0,14170.0,14200.0,12058.5869140625,1355700
2013-06-21,14110.0,14710.0,14060.0,14600.0,12398.267578125,1449500
2013-06-24,14950.0,14950.0,14250.0,14270.0,12118.03125,728500
2013-06-25,14380.0,14550.0,13990.0,14030.0,11914.224609375,1893800
2013-06-26,14220.0,14230.0,13700.0,13800.0,11718.9091796875,1556600
2013-06-27,13800.0,14110.0,13770.0,14000.0,11888.748046875,995200
2013-06-28,14160.0,14450.0,13970.0,14380.0,12211.443359375,1282100
2013-07-01,14280.0,14490.0,14170.0,14450.0,12270.88671875,755400
2013-07-02,14600.0,14600.0,14330.0,14540.0,12347.3125,748900
2013-07-03,14630.0,14720.0,14510.0,14620.0,12415.25,958200
2013-07-04,14550.0,14730.0,14530.0,14530.0,12338.822265625,408500
2013-07-05,14600.0,14790.0,14550.0,14770.0,12542.630859375,856600
2013-07-08,14850.0,14880.0,14530.0,14540.0,12347.3125,819500
2013-07-09,14610.0,14910.0,14610.0,14910.0,12661.517578125,1066300
2013-07-10,14900.0,14940.0,14630.0,14760.0,12534.13671875,875200
2013-07-11,14710.0,14890.0,14670.0,14860.0,12619.056640625,583000
2013-07-12,14840.0,15250.0,14810.0,15180.0,12890.7998046875,1619300
2013-07-16,15320.0,15340.0,15200.0,15260.0,12958.7353515625,1354400
2013-07-17,15150.0,15160.0,14980.0,15060.0,12788.8955078125,931300
2013-07-18,15090.0,15200.0,15020.0,15200.0,12907.783203125,4469600
2013-07-19,15370.0,15440.0,14820.0,14940.0,12686.9921875,1192100
2013-07-22,15130.0,15200.0,14860.0,14970.0,12712.46875,556300
2013-07-23,14830.0,15240.0,14770.0,15180.0,12890.7998046875,756000
2013-07-24,15110.0,15180.0,14990.0,15130.0,12848.33984375,406500
2013-07-25,15140.0,15280.0,14930.0,14930.0,12678.5,770000
2013-07-26,14700.0,14750.0,14520.0,14600.0,12398.267578125,1236000
2013-07-29,14900.0,15250.0,14870.0,14910.0,12661.517578125,2361200
2013-07-30,14900.0,15020.0,14730.0,14950.0,12695.4853515625,1083200
2013-07-31,15040.0,15050.0,14700.0,14860.0,12619.056640625,1020300
2013-08-01,14860.0,15490.0,14790.0,15480.0,13145.5595703125,1086200
2013-08-02,15600.0,15990.0,15580.0,15990.0,13578.6474609375,1139200
2013-08-05,15740.0,15810.0,15590.0,15660.0,13298.416015625,645200
2013-08-06,15730.0,15840.0,15380.0,15830.0,13442.7783203125,732500
2013-08-07,15440.0,15590.0,15160.0,15170.0,12882.3056640625,1037000
2013-08-08,15210.0,15600.0,14960.0,15010.0,12746.4375,942000
2013-08-09,14990.0,15160.0,14880.0,14990.0,12729.453125,1274500
2013-08-12,14950.0,15210.0,14850.0,15010.0,12746.4375,534000
2013-08-13,15170.0,15200.0,14940.0,15050.0,12780.404296875,644400
2013-08-14,15160.0,15440.0,15100.0,15430.0,13103.09765625,876200
2013-08-15,15240.0,15340.0,15010.0,15090.0,12814.3720703125,698800
2013-08-16,15000.0,15130.0,14880.0,15020.0,12754.9287109375,562800
2013-08-19,15010.0,15080.0,14830.0,15080.0,12805.880859375,401400
2013-08-20,14860.0,15030.0,14640.0,14680.0,12466.2001953125,822900
2013-08-21,14700.0,14890.0,14560.0,14830.0,12593.5830078125,797200
2013-08-22,14690.0,14820.0,14510.0,14670.0,12457.7109375,639700
2013-08-23,14860.0,15080.0,14710.0,14940.0,12686.9921875,841500
2013-08-26,15070.0,15160.0,14960.0,15070.0,12797.388671875,589600
2013-08-27,15050.0,15140.0,14860.0,14980.0,12720.958984375,466900
2013-08-28,14700.0,15000.0,14620.0,14940.0,12686.9921875,658200
2013-08-29,14850.0,15000.0,14770.0,15000.0,12737.9443359375,658700
2013-08-30,15190.0,15300.0,14860.0,15010.0,12746.4375,800600
2013-09-02,15150.0,15460.0,15100.0,15420.0,13094.6083984375,806000
2013-09-03,15550.0,15960.0,15520.0,15950.0,13544.6826171875,1197700
2013-09-04,15960.0,16060.0,15790.0,16020.0,13604.1240234375,767400
2013-09-05,16010.0,16200.0,15880.0,16130.0,13697.53515625,962600
2013-09-06,16180.0,16230.0,15970.0,16080.0,13655.076171875,730200
2013-09-09,16670.0,16670.0,16340.0,16580.0,14079.6767578125,901600
2013-09-10,16600.0,16690.0,16480.0,16580.0,14079.6767578125,854900
2013-09-11,16580.0,16800.0,16400.0,16560.0,14062.6904296875,997500
2013-09-12,16480.0,16680.0,16430.0,16560.0,14062.6904296875,680400
2013-09-13,16470.0,16710.0,16430.0,16620.0,14113.642578125,2419600
2013-09-17,16500.0,16680.0,16480.0,16480.0,13994.7568359375,603800
2013-09-18,16730.0,17060.0,16600.0,16880.0,14334.4306640625,991400
2013-09-19,17000.0,17260.0,16640.0,17100.0,14521.2568359375,1192700
2013-09-20,17010.0,17020.0,16780.0,16890.0,14342.923828125,1096600
2013-09-24,16620.0,16910.0,16610.0,16840.0,14300.4658203125,660900
2013-09-25,16800.0,16900.0,16560.0,16560.0,14062.6904296875,1095500
2013-09-26,16440.0,16790.0,16110.0,16790.0,14324.4384765625,1492100
2013-09-27,16740.0,16790.0,16560.0,16640.0,14196.4638671875,834700
2013-09-30,16120.0,16450.0,16120.0,16210.0,13829.607421875,820500
2013-10-01,16330.0,16530.0,16230.0,16350.0,13949.0498046875,683000
2013-10-02,16290.0,16410.0,15850.0,15890.0,13556.6015625,1211400
2013-10-03,15980.0,15990.0,15710.0,15730.0,13420.095703125,1094700
2013-10-04,15690.0,15950.0,15630.0,15730.0,13420.095703125,998700
2013-10-07,15700.0,15710.0,15350.0,15410.0,13147.0849609375,953800
2013-10-08,15420.0,15440.0,15150.0,15330.0,13078.8330078125,924800
2013-10-09,15340.0,15690.0,15250.0,15690.0,13385.970703125,872800
2013-10-10,15700.0,16030.0,15590.0,16010.0,13658.9775390625,847900
2013-10-11,16370.0,16780.0,16260.0,16730.0,14273.2470703125,2177300
2013-10-15,16780.0,16830.0,16600.0,16740.0,14281.7802734375,770900
2013-10-16,16740.0,16930.0,16650.0,16920.0,14435.34765625,754900
2013-10-17,17050.0,17200.0,16860.0,16990.0,14495.0693359375,970100
2013-10-18,16990.0,17070.0,16710.0,16740.0,14281.7802734375,987000
2013-10-21,16890.0,16970.0,16700.0,16800.0,14332.96875,644600
2013-10-22,16710.0,16710.0,16570.0,16630.0,14187.9326171875,632500
2013-10-23,16700.0,16770.0,16250.0,16250.0,13863.7353515625,982800
2013-10-24,16130.0,16380.0,16070.0,16340.0,13940.5185546875,914200
2013-10-25,16340.0,16420.0,15910.0,15910.0,13573.6640625,928800
2013-10-28,16190.0,16450.0,16030.0,16450.0,14034.3642578125,641500
2013-10-29,16350.0,16450.0,16150.0,16160.0,13786.9521484375,758900
2013-10-30,15980.0,15990.0,15600.0,15780.0,13462.7529296875,2815400
2013-10-31,15790.0,15960.0,15680.0,15720.0,13411.5654296875,1108300
2013-11-01,15690.0,15720.0,15180.0,15270.0,13027.6455078125,1408900
2013-11-05,15480.0,15480.0,15070.0,15130.0,12908.2041015625,992900
2013-11-06,15130.0,15460.0,15110.0,15360.0,13104.4287109375,943900
2013-11-07,15460.0,15490.0,15240.0,15310.0,13061.771484375,1039500
2013-11-08,15000.0,15450.0,15000.0,15390.0,13130.0224609375,1086100
2013-11-11,15700.0,15730.0,15470.0,15550.0,13266.5283203125,1041000
2013-11-12,15690.0,15940.0,15530.0,15920.0,13582.1943359375,1009600
2013-11-13,15890.0,16040.0,15850.0,16000.0,13650.4453125,941300
